ingredient,nutrient,quantity_per_gram,units
Chinese 5 spice,Vitamin B2,0.002,GRAMS
Chinese 5 spice,Vitamin B3,0.053,GRAMS
Chinese 5 spice,Vitamin B6,0,GRAMS
Chinese 5 spice,Vitamin B12,0,GRAMS
Chinese 5 spice,Vitamin B9,0,GRAMS
Chinese 5 spice,Vitamin B5,0,GRAMS
Chinese 5 spice,Vitamin B7,0,GRAMS
Chinese 5 spice,Vitamin C,0,GRAMS
"Chives, fresh",Protein,0.033,GRAMS
"Chives, fresh",Fat,0.007,GRAMS
"Chives, fresh",Carbohydrate,0.019,GRAMS
"Chives, fresh",kcal,0.27,KCAL
"Chives, fresh",Sugars,0.019,GRAMS
"Chives, fresh",Fibre,0.025,GRAMS
"Chives, fresh",Fatty acids,0.007,GRAMS
"Chives, fresh",Saturated fat,0.002,GRAMS
"Chives, fresh",Trans fat,0,GRAMS
"Chives, fresh",Sodium,0.03,GRAMS
"Chives, fresh",Potassium,2.96,GRAMS
"Chives, fresh",Calcium,0.92,GRAMS
"Chives, fresh",Magnesium,0.42,GRAMS
"Chives, fresh",Phosphorus,0.58,GRAMS
"Chives, fresh",Iron,0.016,GRAMS
"Chives, fresh",Zinc,0.006,GRAMS
"Chives, fresh",Selenium,0,GRAMS
"Chives, fresh",Iodine,0,GRAMS
"Chives, fresh",Vitamin D,0,GRAMS
"Chives, fresh",Vitamin E,0,GRAMS
"Chives, fresh",Vitamin K1,0,GRAMS
"Chives, fresh",Vitamin B1,0.001,GRAMS
"Chives, fresh",Vitamin B2,0.001,GRAMS
"Chives, fresh",Vitamin B3,0.007,GRAMS
"Chives, fresh",Vitamin B6,0.001,GRAMS
"Chives, fresh",Vitamin B12,0,GRAMS
"Chives, fresh",Vitamin B9,1.05,GRAMS
"Chives, fresh",Vitamin B5,0.003,GRAMS
"Chives, fresh",Vitamin B7,0,GRAMS
"Chives, fresh",Vitamin C,0.58,GRAMS
"Cinnamon, ground",Protein,0.04,GRAMS
"Cinnamon, ground",Fat,0.012,GRAMS
"Cinnamon, ground",Carbohydrate,0,GRAMS
"Cinnamon, ground",kcal,0,KCAL
"Cinnamon, ground",Sugars,0.022,GRAMS
"Cinnamon, ground",Fibre,0.531,GRAMS
"Cinnamon, ground",Fatty acids,0.012,GRAMS
"Cinnamon, ground",Saturated fat,0.004,GRAMS
"Cinnamon, ground",Trans fat,0,GRAMS
"Cinnamon, ground",Sodium,0.1,GRAMS
"Cinnamon, ground",Potassium,4.31,GRAMS
"Cinnamon, ground",Calcium,10.02,GRAMS
"Cinnamon, ground",Magnesium,0.6,GRAMS
"Cinnamon, ground",Phosphorus,0.64,GRAMS
"Cinnamon, ground",Iron,0.083,GRAMS
"Cinnamon, ground",Zinc,0.018,GRAMS
"Cinnamon, ground",Selenium,0.03,GRAMS
"Cinnamon, ground",Iodine,0,GRAMS
"Cinnamon, ground",Vitamin D,0,GRAMS
"Cinnamon, ground",Vitamin E,0,GRAMS
"Cinnamon, ground",Vitamin K1,0,GRAMS
"Cinnamon, ground",Vitamin B1,0,GRAMS
"Cinnamon, ground",Vitamin B2,0,GRAMS
"Cinnamon, ground",Vitamin B3,0.013,GRAMS
"Cinnamon, ground",Vitamin B6,0.002,GRAMS
"Cinnamon, ground",Vitamin B12,0,GRAMS
"Cinnamon, ground",Vitamin B9,0.06,GRAMS
"Cinnamon, ground",Vitamin B5,0.004,GRAMS
"Cinnamon, ground",Vitamin B7,0,GRAMS
"Cinnamon, ground",Vitamin C,0.04,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Protein,0.007,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Fat,0.002,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Carbohydrate,0.096,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",kcal,0.41,KCAL
"Citrus fruit, soft/easy peelers, flesh only",Sugars,0.096,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Fibre,0.015,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Fatty acids,0.002,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Saturated fat,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Trans fat,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Sodium,0.01,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Potassium,1.28,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Calcium,0.25,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Magnesium,0.09,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Phosphorus,0.15,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Iron,0.001,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Zinc,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Selenium,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Iodine,0.01,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin D,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin E,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin K1,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B1,0.002,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B2,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B3,0.004,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B6,0.001,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B12,0,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B9,0.19,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B5,0.002,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin B7,0.014,GRAMS
"Citrus fruit, soft/easy peelers, flesh only",Vitamin C,0.42,GRAMS
"Cloves, dried",Protein,0.06,GRAMS
"Cloves, dried",Fat,0.201,GRAMS
"Cloves, dried",Carbohydrate,0,GRAMS
"Cloves, dried",kcal,0,KCAL
"Cloves, dried",Sugars,0,GRAMS
"Cloves, dried",Fibre,0,GRAMS
"Cloves, dried",Fatty acids,0.201,GRAMS
"Cloves, dried",Saturated fat,0.044,GRAMS
"Cloves, dried",Trans fat,0,GRAMS
"Cloves, dried",Sodium,2.4,GRAMS
"Cloves, dried",Potassium,11,GRAMS
"Cloves, dried",Calcium,7.3,GRAMS
"Cloves, dried",Magnesium,2.6,GRAMS
"Cloves, dried",Phosphorus,1.1,GRAMS
"Cloves, dried",Iron,0.056,GRAMS
"Cloves, dried",Zinc,0.022,GRAMS
"Cloves, dried",Selenium,0,GRAMS
"Cloves, dried",Iodine,0,GRAMS
"Cloves, dried",Vitamin D,0,GRAMS
"Cloves, dried",Vitamin E,0,GRAMS
"Cloves, dried",Vitamin K1,0,GRAMS
"Cloves, dried",Vitamin B1,0.001,GRAMS
"Cloves, dried",Vitamin B2,0.003,GRAMS
"Cloves, dried",Vitamin B3,0.015,GRAMS
"Cloves, dried",Vitamin B6,0,GRAMS
"Cloves, dried",Vitamin B12,0,GRAMS
"Cloves, dried",Vitamin B9,0,GRAMS
"Cloves, dried",Vitamin B5,0,GRAMS
"Cloves, dried",Vitamin B7,0,GRAMS
"Cloves, dried",Vitamin C,0,GRAMS
"Coconut, flesh only, fresh",Protein,0.032,GRAMS
"Coconut, flesh only, fresh",Fat,0.36,GRAMS
"Coconut, flesh only, fresh",Carbohydrate,0.037,GRAMS
"Coconut, flesh only, fresh",kcal,3.51,KCAL
"Coconut, flesh only, fresh",Sugars,0.037,GRAMS
"Coconut, flesh only, fresh",Fibre,0,GRAMS
"Coconut, flesh only, fresh",Fatty acids,0.36,GRAMS
"Coconut, flesh only, fresh",Saturated fat,0.314,GRAMS
"Coconut, flesh only, fresh",Trans fat,0,GRAMS
"Coconut, flesh only, fresh",Sodium,0.17,GRAMS
"Coconut, flesh only, fresh",Potassium,3.7,GRAMS
"Coconut, flesh only, fresh",Calcium,0.13,GRAMS
"Coconut, flesh only, fresh",Magnesium,0.41,GRAMS
"Coconut, flesh only, fresh",Phosphorus,0.94,GRAMS
"Coconut, flesh only, fresh",Iron,0.021,GRAMS
"Coconut, flesh only, fresh",Zinc,0.005,GRAMS
"Coconut, flesh only, fresh",Selenium,0.01,GRAMS
"Coconut, flesh only, fresh",Iodine,0.01,GRAMS
"Coconut, flesh only, fresh",Vitamin D,0,GRAMS
"Coconut, flesh only, fresh",Vitamin E,0,GRAMS
"Coconut, flesh only, fresh",Vitamin K1,0,GRAMS
"Coconut, flesh only, fresh",Vitamin B1,0,GRAMS
"Coconut, flesh only, fresh",Vitamin B2,0,GRAMS
"Coconut, flesh only, fresh",Vitamin B3,0.005,GRAMS
"Coconut, flesh only, fresh",Vitamin B6,0.001,GRAMS
"Coconut, flesh only, fresh",Vitamin B12,0,GRAMS
"Coconut, flesh only, fresh",Vitamin B9,0.26,GRAMS
"Coconut, flesh only, fresh",Vitamin B5,0.003,GRAMS
"Coconut, flesh only, fresh",Vitamin B7,0,GRAMS
"Coconut, flesh only, fresh",Vitamin C,0.03,GRAMS
"Coriander leaves, fresh",Protein,0.021,GRAMS
"Coriander leaves, fresh",Fat,0.005,GRAMS
"Coriander leaves, fresh",Carbohydrate,0.012,GRAMS
"Coriander leaves, fresh",kcal,0.18,KCAL
"Coriander leaves, fresh",Sugars,0.009,GRAMS
"Coriander leaves, fresh",Fibre,0.028,GRAMS
"Coriander leaves, fresh",Fatty acids,0.005,GRAMS
"Coriander leaves, fresh",Saturated fat,0,GRAMS
"Coriander leaves, fresh",Trans fat,0,GRAMS
"Coriander leaves, fresh",Sodium,0.46,GRAMS
"Coriander leaves, fresh",Potassium,5.21,GRAMS
"Coriander leaves, fresh",Calcium,0.67,GRAMS
"Coriander leaves, fresh",Magnesium,0.26,GRAMS
"Coriander leaves, fresh",Phosphorus,0.48,GRAMS
"Coriander leaves, fresh",Iron,0.018,GRAMS
"Coriander leaves, fresh",Zinc,0.005,GRAMS
"Coriander leaves, fresh",Selenium,0,GRAMS
"Coriander leaves, fresh",Iodine,0,GRAMS
"Coriander leaves, fresh",Vitamin D,0,GRAMS
"Coriander leaves, fresh",Vitamin E,0,GRAMS
"Coriander leaves, fresh",Vitamin K1,0,GRAMS
"Coriander leaves, fresh",Vitamin B1,0.001,GRAMS
"Coriander leaves, fresh",Vitamin B2,0.001,GRAMS
"Coriander leaves, fresh",Vitamin B3,0.011,GRAMS
"Coriander leaves, fresh",Vitamin B6,0.002,GRAMS
"Coriander leaves, fresh",Vitamin B12,0,GRAMS
"Coriander leaves, fresh",Vitamin B9,0.62,GRAMS
"Coriander leaves, fresh",Vitamin B5,0.006,GRAMS
"Coriander leaves, fresh",Vitamin B7,0,GRAMS
"Coriander leaves, fresh",Vitamin C,0.27,GRAMS
Coriander seeds,Protein,0.124,GRAMS
Coriander seeds,Fat,0.178,GRAMS
Coriander seeds,Carbohydrate,0,GRAMS
Coriander seeds,kcal,0,KCAL
Coriander seeds,Sugars,0,GRAMS
Coriander seeds,Fibre,0.419,GRAMS
Coriander seeds,Fatty acids,0.178,GRAMS
Coriander seeds,Saturated fat,0.01,GRAMS
Coriander seeds,Trans fat,0,GRAMS
Coriander seeds,Sodium,0.35,GRAMS
Coriander seeds,Potassium,12.7,GRAMS
Coriander seeds,Calcium,7.09,GRAMS
Coriander seeds,Magnesium,3.3,GRAMS
Coriander seeds,Phosphorus,4.09,GRAMS
Coriander seeds,Iron,0.163,GRAMS
Coriander seeds,Zinc,0.047,GRAMS
Coriander seeds,Selenium,0.26,GRAMS
Coriander seeds,Iodine,0,GRAMS
Coriander seeds,Vitamin D,0,GRAMS
Coriander seeds,Vitamin E,0,GRAMS
Coriander seeds,Vitamin K1,0,GRAMS
Coriander seeds,Vitamin B1,0.002,GRAMS
Coriander seeds,Vitamin B2,0.003,GRAMS
Coriander seeds,Vitamin B3,0.021,GRAMS
Coriander seeds,Vitamin B6,0,GRAMS
Coriander seeds,Vitamin B12,0,GRAMS
Coriander seeds,Vitamin B9,0,GRAMS
Coriander seeds,Vitamin B5,0,GRAMS
Coriander seeds,Vitamin B7,0,GRAMS
Coriander seeds,Vitamin C,0.21,GRAMS
"Courgette, raw",Protein,0.013,GRAMS
"Courgette, raw",Fat,0.002,GRAMS
"Courgette, raw",Carbohydrate,0.023,GRAMS
"Courgette, raw",kcal,0.16,KCAL
"Courgette, raw",Sugars,0.022,GRAMS
"Courgette, raw",Fibre,0.005,GRAMS
"Courgette, raw",Fatty acids,0.002,GRAMS
"Courgette, raw",Saturated fat,0.001,GRAMS
"Courgette, raw",Trans fat,0,GRAMS
"Courgette, raw",Sodium,0,GRAMS
"Courgette, raw",Potassium,3.41,GRAMS
"Courgette, raw",Calcium,0.27,GRAMS
"Courgette, raw",Magnesium,0.24,GRAMS
"Courgette, raw",Phosphorus,0.4,GRAMS
"Courgette, raw",Iron,0.004,GRAMS
"Courgette, raw",Zinc,0.003,GRAMS
"Courgette, raw",Selenium,0.01,GRAMS
"Courgette, raw",Iodine,0.05,GRAMS
"Courgette, raw",Vitamin D,0,GRAMS
"Courgette, raw",Vitamin E,0,GRAMS
"Courgette, raw",Vitamin K1,0,GRAMS
"Courgette, raw",Vitamin B1,0,GRAMS
"Courgette, raw",Vitamin B2,0,GRAMS
"Courgette, raw",Vitamin B3,0,GRAMS
"Courgette, raw",Vitamin B6,0.001,GRAMS
"Courgette, raw",Vitamin B12,0,GRAMS
"Courgette, raw",Vitamin B9,0.34,GRAMS
"Courgette, raw",Vitamin B5,0.002,GRAMS
"Courgette, raw",Vitamin B7,0.031,GRAMS
"Courgette, raw",Vitamin C,0.05,GRAMS
"Cucumber, raw, flesh and skin",Protein,0.01,GRAMS
"Cucumber, raw, flesh and skin",Fat,0.006,GRAMS
"Cucumber, raw, flesh and skin",Carbohydrate,0.012,GRAMS
"Cucumber, raw, flesh and skin",kcal,0.14,KCAL
"Cucumber, raw, flesh and skin",Sugars,0.012,GRAMS
"Cucumber, raw, flesh and skin",Fibre,0.007,GRAMS
"Cucumber, raw, flesh and skin",Fatty acids,0.006,GRAMS
"Cucumber, raw, flesh and skin",Saturated fat,0,GRAMS
"Cucumber, raw, flesh and skin",Trans fat,0,GRAMS
"Cucumber, raw, flesh and skin",Sodium,0.04,GRAMS
"Cucumber, raw, flesh and skin",Potassium,1.56,GRAMS
"Cucumber, raw, flesh and skin",Calcium,0.21,GRAMS
"Cucumber, raw, flesh and skin",Magnesium,0.1,GRAMS
"Cucumber, raw, flesh and skin",Phosphorus,0.23,GRAMS
"Cucumber, raw, flesh and skin",Iron,0.003,GRAMS
"Cucumber, raw, flesh and skin",Zinc,0.001,GRAMS
"Cucumber, raw, flesh and skin",Selenium,0,GRAMS
"Cucumber, raw, flesh and skin",Iodine,0.03,GRAMS
"Cucumber, raw, flesh and skin",Vitamin D,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin E,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin K1,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B1,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B2,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B3,0.002,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B6,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B12,0,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B9,0.14,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B5,0.003,GRAMS
"Cucumber, raw, flesh and skin",Vitamin B7,0.008,GRAMS
"Cucumber, raw, flesh and skin",Vitamin C,0.02,GRAMS
Cumin seeds,Protein,0.178,GRAMS
Cumin seeds,Fat,0.223,GRAMS
Cumin seeds,Carbohydrate,0,GRAMS
Cumin seeds,kcal,0,KCAL
Cumin seeds,Sugars,0.023,GRAMS
Cumin seeds,Fibre,0.105,GRAMS
Cumin seeds,Fatty acids,0.223,GRAMS
Cumin seeds,Saturated fat,0.015,GRAMS
Cumin seeds,Trans fat,0,GRAMS
Cumin seeds,Sodium,1.68,GRAMS
Cumin seeds,Potassium,17.9,GRAMS
Cumin seeds,Calcium,9.31,GRAMS
Cumin seeds,Magnesium,3.66,GRAMS
Cumin seeds,Phosphorus,4.99,GRAMS
Cumin seeds,Iron,0.664,GRAMS
Cumin seeds,Zinc,0.048,GRAMS
Cumin seeds,Selenium,0,GRAMS
Cumin seeds,Iodine,0,GRAMS
Cumin seeds,Vitamin D,0,GRAMS
Cumin seeds,Vitamin E,0,GRAMS
Cumin seeds,Vitamin K1,0,GRAMS
Cumin seeds,Vitamin B1,0.006,GRAMS
Cumin seeds,Vitamin B2,0.003,GRAMS
Cumin seeds,Vitamin B3,0.046,GRAMS
Cumin seeds,Vitamin B6,0.004,GRAMS
Cumin seeds,Vitamin B12,0,GRAMS
Cumin seeds,Vitamin B9,0.1,GRAMS
Cumin seeds,Vitamin B5,0,GRAMS
Cumin seeds,Vitamin B7,0,GRAMS
Cumin seeds,Vitamin C,0.08,GRAMS
"Curly kale, raw",Protein,0.034,GRAMS
"Curly kale, raw",Fat,0.016,GRAMS
"Curly kale, raw",Carbohydrate,0.014,GRAMS
"Curly kale, raw",kcal,0.33,KCAL
"Curly kale, raw",Sugars,0.013,GRAMS
"Curly kale, raw",Fibre,0,GRAMS
"Curly kale, raw",Fatty acids,0.016,GRAMS
"Curly kale, raw",Saturated fat,0.002,GRAMS
"Curly kale, raw",Trans fat,0,GRAMS
"Curly kale, raw",Sodium,0.43,GRAMS
"Curly kale, raw",Potassium,4.5,GRAMS
"Curly kale, raw",Calcium,1.3,GRAMS
"Curly kale, raw",Magnesium,0.34,GRAMS
"Curly kale, raw",Phosphorus,0.61,GRAMS
"Curly kale, raw",Iron,0.017,GRAMS
"Curly kale, raw",Zinc,0.004,GRAMS
"Curly kale, raw",Selenium,0.02,GRAMS
"Curly kale, raw",Iodine,0,GRAMS
"Curly kale, raw",Vitamin D,0,GRAMS
"Curly kale, raw",Vitamin E,0,GRAMS
"Curly kale, raw",Vitamin K1,0,GRAMS
"Curly kale, raw",Vitamin B1,0.001,GRAMS
"Curly kale, raw",Vitamin B2,0.001,GRAMS
"Curly kale, raw",Vitamin B3,0.01,GRAMS
"Curly kale, raw",Vitamin B6,0.003,GRAMS
"Curly kale, raw",Vitamin B12,0,GRAMS
"Curly kale, raw",Vitamin B9,1.2,GRAMS
"Curly kale, raw",Vitamin B5,0.001,GRAMS
"Curly kale, raw",Vitamin B7,0.005,GRAMS
"Curly kale, raw",Vitamin C,1.1,GRAMS
"Curry leaves, fresh",Protein,0.079,GRAMS
"Curry leaves, fresh",Fat,0.013,GRAMS
"Curry leaves, fresh",Carbohydrate,0.133,GRAMS
"Curry leaves, fresh",kcal,0.97,KCAL
"Curry leaves, fresh",Sugars,0,GRAMS
"Curry leaves, fresh",Fibre,0,GRAMS
"Curry leaves, fresh",Fatty acids,0.013,GRAMS
"Curry leaves, fresh",Saturated fat,0,GRAMS
"Curry leaves, fresh",Trans fat,0,GRAMS
"Curry leaves, fresh",Sodium,0,GRAMS
"Curry leaves, fresh",Potassium,0,GRAMS
"Curry leaves, fresh",Calcium,8.2,GRAMS
"Curry leaves, fresh",Magnesium,2.2,GRAMS
"Curry leaves, fresh",Phosphorus,0.57,GRAMS
"Curry leaves, fresh",Iron,0.051,GRAMS
"Curry leaves, fresh",Zinc,0,GRAMS
"Curry leaves, fresh",Selenium,0,GRAMS
"Curry leaves, fresh",Iodine,0,GRAMS
"Curry leaves, fresh",Vitamin D,0,GRAMS
"Curry leaves, fresh",Vitamin E,0,GRAMS
"Curry leaves, fresh",Vitamin K1,0,GRAMS
"Curry leaves, fresh",Vitamin B1,0.001,GRAMS
"Curry leaves, fresh",Vitamin B2,0.002,GRAMS
"Curry leaves, fresh",Vitamin B3,0.023,GRAMS
"Curry leaves, fresh",Vitamin B6,0,GRAMS
"Curry leaves, fresh",Vitamin B12,0,GRAMS
"Curry leaves, fresh",Vitamin B9,0.94,GRAMS
"Curry leaves, fresh",Vitamin B5,0,GRAMS
"Curry leaves, fresh",Vitamin B7,0,GRAMS
"Curry leaves, fresh",Vitamin C,0.08,GRAMS
Curry powder,Protein,0.095,GRAMS
Curry powder,Fat,0.108,GRAMS
Curry powder,Carbohydrate,0.261,GRAMS
Curry powder,kcal,2.33,KCAL
Curry powder,Sugars,0,GRAMS
Curry powder,Fibre,0,GRAMS
Curry powder,Fatty acids,0.108,GRAMS
Curry powder,Saturated fat,0,GRAMS
Curry powder,Trans fat,0,GRAMS
Curry powder,Sodium,4.5,GRAMS
Curry powder,Potassium,18.3,GRAMS
Curry powder,Calcium,6.4,GRAMS
Curry powder,Magnesium,2.8,GRAMS
Curry powder,Phosphorus,2.7,GRAMS
Curry powder,Iron,0.583,GRAMS
Curry powder,Zinc,0.041,GRAMS
Curry powder,Selenium,0,GRAMS
Curry powder,Iodine,0,GRAMS
Curry powder,Vitamin D,0,GRAMS
Curry powder,Vitamin E,0,GRAMS
Curry powder,Vitamin K1,0,GRAMS
Curry powder,Vitamin B1,0.003,GRAMS
Curry powder,Vitamin B2,0.003,GRAMS
Curry powder,Vitamin B3,0.035,GRAMS
Curry powder,Vitamin B6,0.001,GRAMS
Curry powder,Vitamin B12,0,GRAMS
Curry powder,Vitamin B9,0.56,GRAMS
Curry powder,Vitamin B5,0,GRAMS
Curry powder,Vitamin B7,0,GRAMS
Curry powder,Vitamin C,0.01,GRAMS
"Dates, dried, flesh and skin",Protein,0.024,GRAMS
"Dates, dried, flesh and skin",Fat,0.006,GRAMS
"Dates, dried, flesh and skin",Carbohydrate,0.587,GRAMS
"Dates, dried, flesh and skin",kcal,2.35,KCAL
"Dates, dried, flesh and skin",Sugars,0.58,GRAMS
"Dates, dried, flesh and skin",Fibre,0.075,GRAMS
"Dates, dried, flesh and skin",Fatty acids,0.006,GRAMS
"Dates, dried, flesh and skin",Saturated fat,0.003,GRAMS
"Dates, dried, flesh and skin",Trans fat,0,GRAMS
"Dates, dried, flesh and skin",Sodium,0.11,GRAMS
"Dates, dried, flesh and skin",Potassium,7.27,GRAMS
"Dates, dried, flesh and skin",Calcium,0.68,GRAMS
"Dates, dried, flesh and skin",Magnesium,0.55,GRAMS
"Dates, dried, flesh and skin",Phosphorus,0.68,GRAMS
"Dates, dried, flesh and skin",Iron,0.022,GRAMS
"Dates, dried, flesh and skin",Zinc,0.004,GRAMS
"Dates, dried, flesh and skin",Selenium,0.03,GRAMS
"Dates, dried, flesh and skin",Iodine,0.17,GRAMS
"Dates, dried, flesh and skin",Vitamin D,0,GRAMS
"Dates, dried, flesh and skin",Vitamin E,0,GRAMS
"Dates, dried, flesh and skin",Vitamin K1,0,GRAMS
"Dates, dried, flesh and skin",Vitamin B1,0.001,GRAMS
"Dates, dried, flesh and skin",Vitamin B2,0.001,GRAMS
"Dates, dried, flesh and skin",Vitamin B3,0.018,GRAMS
"Dates, dried, flesh and skin",Vitamin B6,0.002,GRAMS
"Dates, dried, flesh and skin",Vitamin B12,0,GRAMS
"Dates, dried, flesh and skin",Vitamin B9,0.13,GRAMS
"Dates, dried, flesh and skin",Vitamin B5,0.008,GRAMS
"Dates, dried, flesh and skin",Vitamin B7,0.015,GRAMS
"Dates, dried, flesh and skin",Vitamin C,0,GRAMS
"Dill, fresh",Protein,0.037,GRAMS
"Dill, fresh",Fat,0.008,GRAMS
"Dill, fresh",Carbohydrate,0.009,GRAMS
"Dill, fresh",kcal,0.25,KCAL
"Dill, fresh",Sugars,0.008,GRAMS
"Dill, fresh",Fibre,0,GRAMS
"Dill, fresh",Fatty acids,0.008,GRAMS
"Dill, fresh",Saturated fat,0,GRAMS
"Dill, fresh",Trans fat,0,GRAMS
"Dill, fresh",Sodium,0.26,GRAMS
"Dill, fresh",Potassium,7.5,GRAMS
"Dill, fresh",Calcium,3.4,GRAMS
"Dill, fresh",Magnesium,0.44,GRAMS
"Dill, fresh",Phosphorus,0.85,GRAMS
"Dill, fresh",Iron,0.032,GRAMS
"Dill, fresh",Zinc,0.018,GRAMS
"Dill, fresh",Selenium,0.02,GRAMS
"Dill, fresh",Iodine,0,GRAMS
"Dill, fresh",Vitamin D,0,GRAMS
"Dill, fresh",Vitamin E,0,GRAMS
"Dill, fresh",Vitamin K1,0,GRAMS
"Dill, fresh",Vitamin B1,0.002,GRAMS
"Dill, fresh",Vitamin B2,0.006,GRAMS
"Dill, fresh",Vitamin B3,0.021,GRAMS
"Dill, fresh",Vitamin B6,0,GRAMS
"Dill, fresh",Vitamin B12,0,GRAMS
"Dill, fresh",Vitamin B9,0.36,GRAMS
"Dill, fresh",Vitamin B5,0,GRAMS
"Dill, fresh",Vitamin B7,0,GRAMS
"Dill, fresh",Vitamin C,0.86,GRAMS
Fennel seeds,Protein,0.158,GRAMS
Fennel seeds,Fat,0.149,GRAMS
Fennel seeds,Carbohydrate,0,GRAMS
Fennel seeds,kcal,0,KCAL
Fennel seeds,Sugars,0,GRAMS
Fennel seeds,Fibre,0,GRAMS
Fennel seeds,Fatty acids,0.149,GRAMS
Fennel seeds,Saturated fat,0.005,GRAMS
Fennel seeds,Trans fat,0,GRAMS
Fennel seeds,Sodium,0.88,GRAMS
Fennel seeds,Potassium,16.6,GRAMS
Fennel seeds,Calcium,12,GRAMS
Fennel seeds,Magnesium,3.9,GRAMS
Fennel seeds,Phosphorus,5.1,GRAMS
Fennel seeds,Iron,0.123,GRAMS
Fennel seeds,Zinc,0.037,GRAMS
Fennel seeds,Selenium,0,GRAMS
Fennel seeds,Iodine,0,GRAMS
Fennel seeds,Vitamin D,0,GRAMS
Fennel seeds,Vitamin E,0,GRAMS
Fennel seeds,Vitamin K1,0,GRAMS
Fennel seeds,Vitamin B1,0.004,GRAMS
Fennel seeds,Vitamin B2,0.004,GRAMS
Fennel seeds,Vitamin B3,0.103,GRAMS
Fennel seeds,Vitamin B6,0,GRAMS
Fennel seeds,Vitamin B12,0,GRAMS
Fennel seeds,Vitamin B9,0,GRAMS
Fennel seeds,Vitamin B5,0,GRAMS
Fennel seeds,Vitamin B7,0,GRAMS
Fennel seeds,Vitamin C,0,GRAMS
"Fenugreek leaves, raw",Protein,0.046,GRAMS
"Fenugreek leaves, raw",Fat,0.002,GRAMS
"Fenugreek leaves, raw",Carbohydrate,0.048,GRAMS
"Fenugreek leaves, raw",kcal,0.35,KCAL
"Fenugreek leaves, raw",Sugars,0,GRAMS
"Fenugreek leaves, raw",Fibre,0,GRAMS
"Fenugreek leaves, raw",Fatty acids,0.002,GRAMS
"Fenugreek leaves, raw",Saturated fat,0,GRAMS
"Fenugreek leaves, raw",Trans fat,0,GRAMS
"Fenugreek leaves, raw",Sodium,0.76,GRAMS
"Fenugreek leaves, raw",Potassium,0.31,GRAMS
"Fenugreek leaves, raw",Calcium,1.4,GRAMS
"Fenugreek leaves, raw",Magnesium,0.59,GRAMS
"Fenugreek leaves, raw",Phosphorus,0.45,GRAMS
"Fenugreek leaves, raw",Iron,0.088,GRAMS
"Fenugreek leaves, raw",Zinc,0,GRAMS
"Fenugreek leaves, raw",Selenium,0,GRAMS
"Fenugreek leaves, raw",Iodine,0,GRAMS
"Fenugreek leaves, raw",Vitamin D,0,GRAMS
"Fenugreek leaves, raw",Vitamin E,0,GRAMS
"Fenugreek leaves, raw",Vitamin K1,0,GRAMS
"Fenugreek leaves, raw",Vitamin B1,0.001,GRAMS
"Fenugreek leaves, raw",Vitamin B2,0.003,GRAMS
"Fenugreek leaves, raw",Vitamin B3,0.014,GRAMS
"Fenugreek leaves, raw",Vitamin B6,0,GRAMS
"Fenugreek leaves, raw",Vitamin B12,0,GRAMS
"Fenugreek leaves, raw",Vitamin B9,0,GRAMS
"Fenugreek leaves, raw",Vitamin B5,0,GRAMS
